Year,A. NON-DEVELOPMENTAL EXPENDITURE,1. Defence services,2. Border roads,3. Fiscal services,"i) Currency, coinage & mint",ii) India security press,iii) Subscription to IMF,iv) Other fiscal services,4. Others,B. DEVELOPMENTAL EXPENDITURE,1. Railways,2. Posts & Telecommunications,3. Social and Community Services,"a) Education, art & culture",b) Scientific services & research,"c) Medical, public health, sanitation & water supply",d) Family welfare,e) Housing,f) Urban development,g) Broadcasting,h) Others,4. General Economic Services,a) Co-operation,b) Others,5. Agriculture & allied services,a) Crop husbandry,b) Soil & water conservation,c) Animal husbandry,d) Dairy development,e) Others,6. Industry and minerals,"7. Power, irrigation & flood control",a) Power projects,b) Major & medium irrigation,c) Minor irrigation,d) Others,8. Transport & Communication,a) Roads and bridges,b) Civil aviation,"c) Ports, lighthouses and shipping",d) Others.1,9. Public works,C. LOANS AND ADVANCES,1. By Centre (net disbursement) (a-b),a) Gross,i) Developmental,ii) Non-developmental,b) Repayments,2. By States (net disbursement) (a-b),a) Gross.1,i) Developmental.1,ii) Non-developmental.1,b) Repayments.1,3. Total loans (1+2) (net Disbursement) (a-b),a) Gross.2,i) Developmental.2,ii) Non-developmental.2,b) Repayments.2,TOTAL (A+B+C),GDP growth,Inflation rates,Tax Revenue (net to centre)
1990,5378.24,4552.35,65.07,725.1,28.84,4.22,549.98,142.06,35.72,16502.05,1631.86,409.23,1888.3,349.34,149.88,574.68,58.07,316.72,47.2,105.82,286.59,731.82,160.03,571.79,667.61,32.54,65.21,17.87,15.4,536.59,1375.4,7407.42,3184.45,2916.56,480.32,826.09,1923.18,1550.36,3.38,61.87,307.57,467.23,8321.3,4070.72,6186.68,4418.46,1768.22,2115.96,4250.58,5759.16,5547.06,212.1,1508.58,8321.3,11945.84,9965.52,1980.32,3624.54,30201.59,,,
1995,11409.5,8015.05,108.18,3275.71,110.9,1.28,2595.0,568.53,10.56,23766.95,1140.55,54.11,3524.35,484.84,252.74,1305.53,35.25,615.17,193.2,48.12,589.5,-149.42,302.63,-452.05,1011.52,91.51,202.59,29.87,17.88,669.67,1340.99,12315.63,4669.84,5458.61,754.07,1433.11,3817.04,3299.27,29.72,60.63,427.42,712.18,7750.24,2973.15,5183.06,5044.74,138.32,2209.91,4777.09,8257.35,7682.6,574.75,3480.26,7750.24,13440.41,12727.34,713.07,5690.17,42926.69,7.574492,10.22488616,81939.0
1996,9322.99,8508.42,118.72,622.22,110.74,2.08,0.0,509.4,73.63,22498.58,1464.82,42.73,4025.27,551.08,271.29,1486.26,38.16,556.68,269.29,53.33,799.18,-86.14,272.71,-358.85,792.52,74.14,207.37,49.64,28.51,432.86,1118.42,9703.65,2675.26,5493.43,903.76,631.2,4580.29,3789.12,10.56,99.21,681.4,857.02,6564.74,2767.46,5004.85,4920.09,84.76,2237.39,3797.28,9556.62,9003.36,553.26,5759.34,6564.74,14561.47,13923.45,638.02,7996.73,38386.31,,,
1997,10087.22,9103.51,184.72,261.56,149.02,3.06,0.0,109.48,537.43,30333.1,1991.83,43.28,4408.36,577.22,221.67,1696.7,65.12,719.17,259.49,49.94,819.05,863.92,233.76,630.16,1689.56,79.29,185.68,34.09,20.68,1369.82,1380.93,13492.27,5072.11,6938.63,910.72,570.81,5413.22,4486.23,10.24,119.24,797.51,1049.73,7629.59,2539.02,5010.32,4716.58,293.74,2471.3,5090.57,10585.69,9715.3,870.39,5495.12,7629.59,15596.01,14431.88,1164.13,7966.42,48049.91,4.049821,7.164252115,95672.0
1998,17039.74,10035.94,172.0,6179.68,82.79,14.26,5958.31,124.32,652.12,30942.16,2185.1,50.39,5667.64,697.38,302.3,2347.68,44.84,1000.71,145.15,28.31,1101.27,77.32,183.16,-105.84,2237.75,138.42,158.35,31.04,22.75,1887.19,1197.6,12178.8,3543.88,6950.83,1005.52,678.57,6513.24,5596.27,24.15,209.14,683.68,834.32,11204.21,3156.76,6870.92,5306.57,1564.35,3714.16,8047.45,11357.75,10399.52,958.23,3310.3,11204.21,18228.67,15706.09,2522.58,7024.46,59186.11,6.184416,13.23083898,104652.0
1999,14929.36,11854.85,229.42,1976.87,85.32,15.4,1691.12,185.03,868.22,36408.99,2588.4,55.89,6008.53,468.17,451.08,2686.77,26.65,1083.94,282.46,111.76,897.7,1061.58,228.3,833.28,2587.27,209.73,172.57,14.27,13.8,2177.39,1240.31,13241.43,3306.61,8052.41,1157.32,725.09,8616.76,7437.36,39.0,186.62,953.78,1008.82,15312.48,3136.43,5897.38,5212.72,684.66,2760.95,12176.05,15541.45,14115.05,1426.4,3365.4,15312.48,21438.83,19327.77,2111.06,6126.35,66650.83,8.845756,4.66982038,128271.0
2000,14471.38,12384.05,214.28,1116.53,281.6,15.4,628.89,190.64,756.52,41140.43,3268.79,768.89,6982.47,484.66,472.81,3718.69,41.88,981.08,649.16,15.65,618.54,1153.98,277.65,876.33,3711.53,175.93,121.58,20.26,5.73,3388.03,1199.19,14627.46,6061.38,6939.32,950.36,676.4,8505.98,6711.23,49.29,239.57,1505.89,922.14,5348.44,863.62,5971.38,5228.72,742.66,5107.76,4484.82,11208.75,10103.48,1105.27,6723.93,5348.44,17180.13,15332.2,1847.93,11831.69,60960.25,3.840991,4.00943591,136916.0
2001,18370.4,16206.91,372.18,610.55,356.92,19.54,0.0,234.09,1180.76,43079.62,5376.89,667.43,3203.06,626.74,606.84,3370.04,34.1,994.2,498.11,-4250.18,1323.21,1645.05,282.22,1362.83,4415.74,269.97,154.19,24.65,10.43,3956.5,2151.63,15684.91,5598.1,7725.18,1068.59,1293.04,8793.41,7325.12,41.3,152.55,1274.44,1141.5,8655.79,4140.86,10872.04,10204.21,667.83,6731.18,4514.93,12267.68,11133.11,1134.57,7752.75,8655.79,23139.72,21337.32,1802.4,14483.93,70105.81,4.823966,3.779293122,133662.0
2002,18397.44,14952.85,392.05,1310.0,100.87,32.75,1011.45,164.93,1742.54,45628.64,5613.74,71.27,8816.91,532.01,534.19,4172.76,10.33,1091.79,795.05,4.02,1676.76,-60.73,178.02,-238.75,1841.92,313.21,169.66,29.81,10.7,1318.54,1131.46,17040.39,5713.04,9739.66,1056.22,531.47,10037.41,8740.04,36.26,117.3,1143.81,1136.27,9347.97,-906.45,7535.82,6624.31,911.51,8442.27,10254.42,13959.07,13587.54,371.53,3704.65,9347.97,21494.89,20211.85,1283.04,12146.92,73374.05,3.803975,4.297152039,159425.0
2003,21004.17,16862.61,436.38,1576.58,45.07,17.25,1261.89,252.37,2128.6,65362.41,6914.91,63.59,11171.22,797.97,741.77,4461.88,18.4,1014.83,2139.52,9.58,1987.27,440.73,194.71,246.02,2379.08,204.27,263.89,30.61,8.21,1872.1,1206.52,30084.64,13257.07,14326.91,1595.85,904.81,11726.42,9737.21,30.2,119.51,1839.5,1375.3,8132.24,-2767.38,5881.51,5338.32,543.19,8648.89,10899.62,27040.58,26761.39,279.19,16140.96,8132.24,32922.09,32099.71,822.38,24789.85,94498.82,7.860381,3.805858995,186982.0
